set_id,seed_free_count,source
20240531-DL-1,3,2026-06-18 corpus re-score
20260528-IB-1,10,2026-06-18 corpus re-score
20260529-DL-1,8,2026-06-18 corpus re-score
20260529-DL-2,9,2026-06-18 corpus re-score
20260529-DL-3,9,2026-06-18 corpus re-score
20260601-ROW-1,10,2026-06-18 corpus re-score
20260601-ROW-2,10,2026-06-18 corpus re-score
20260601-ROW-3,10,2026-06-18 corpus re-score
20260602-SC-1,9,2026-06-18 corpus re-score
20260604-SQ-1,10,2026-06-18 corpus re-score
20260604-SQ-3,10,2026-06-18 corpus re-score
20260605-BN-1,10,2026-06-18 corpus re-score
20260605-BN-2,10,2026-06-18 corpus re-score
20260605-BN-3,11,2026-06-18 corpus re-score
20260605-DL-1,10,2026-06-18 corpus re-score
20260605-DL-2,11,2026-06-18 corpus re-score
20260605-DL-3,11,2026-06-18 corpus re-score
20260608-ROW-1,8,2026-06-18 corpus re-score
20260608-ROW-2,10,2026-06-18 corpus re-score
20260608-ROW-3,10,2026-06-18 corpus re-score
20260608-ROW-4,10,2026-06-18 corpus re-score
20260609-BN-1,10,2026-06-18 corpus re-score
20260609-BN-2,10,2026-06-18 corpus re-score
20260609-BN-3,10,2026-06-18 corpus re-score
20260609-BN-4,10,2026-06-18 corpus re-score
20260610-RDL-1,7,2026-06-18 corpus re-score
20260610-RDL-2,8,2026-06-18 corpus re-score
20260610-SQ-1,10,2026-06-18 corpus re-score
20260610-SQ-4,10,2026-06-18 corpus re-score
20260615-ROW-1,10,2026-06-18 corpus re-score
20260615-ROW-2,10,2026-06-18 corpus re-score
20260615-ROW-4,9,2026-06-18 corpus re-score
20260615-ROW-5,10,2026-06-18 corpus re-score
20260616-BN-1,10,2026-06-18 corpus re-score
20260616-BN-2,10,2026-06-18 corpus re-score
20260616-BN-3,10,2026-06-18 corpus re-score
20260616-BN-4,11,2026-06-18 corpus re-score
20260616-BN-5,11,2026-06-18 corpus re-score
20260617-RDL-1,8,2026-06-18 corpus re-score
20260617-RDL-2,8,2026-06-18 corpus re-score
20260617-SQ-1,5,2026-06-18 corpus re-score
20260617-SQ-2,10,2026-06-18 corpus re-score
20260617-SQ-3,10,2026-06-18 corpus re-score
20260617-SQ-4,10,2026-06-18 corpus re-score
